Handle,Title,Body (HTML),Base product title,Color,Size,Variant SKU,Image Src,Tags,Published,Staff,Variant Price,Variant Compare At Price,Variant Image,SEO Title,SEO Description
unisex-t-shirt,Import camp Unisex T-shirt publish false,text,Unisex T-shirt,White,S,PH-AP-UnisexT-shirt-White-S-355015,https://img.btdmp.com/10267/10267684/products/origin/16547409358d623fa78b.png,"cotton,t-shirt",FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less
unisex-t-shirt,,,Unisex T-shirt,White,M,PH-AP-UnisexT-shirt-White-M-878881,https://img.btdmp.com/10267/10267684/products/origin/1654740946b560d1bf78.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,L,PH-AP-UnisexT-shirt-White-L-721677,https://img.btdmp.com/10267/10267684/products/origin/1654740946ad50e21fc9.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,XL,PH-AP-UnisexT-shirt-White-XL-380472,https://img.btdmp.com/10267/10267684/products/origin/165474094641ba408f7c.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,2XL,PH-AP-UnisexT-shirt-White-2XL-406417,https://img.btdmp.com/10267/10267684/products/origin/165474094846dcb9d70d.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,3XL,PH-AP-UnisexT-shirt-White-3XL-212171,https://img.btdmp.com/10267/10267684/products/1654740935c41437b00a.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,4XL,PH-AP-UnisexT-shirt-White-4XL-428913,https://img.btdmp.com/10267/10267684/products/origin/16547409455fb6c0afec.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,White,5XL,PH-AP-UnisexT-shirt-White-5XL-526233,https://img.btdmp.com/10267/10267684/products/origin/16547409456b8a5c92f0.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186082110f9c1.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185815514571a.png,https://img.btdmp.com/10267/10267684/products/origin/1655190185d2f8a8f60a.png,https://img.btdmp.com/10267/10267684/products/origin/16551901851f80f36723.png",,
unisex-t-shirt,,,Unisex T-shirt,Black,S,PH-AP-UnisexT-shirt-Black-S-037442,https://img.btdmp.com/10267/10267684/products/origin/165474094544c12e5f3d.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186a7119f7c74.png,https://img.btdmp.com/10267/10267684/products/origin/16551901853119d23613.png,https://img.btdmp.com/10267/10267684/products/origin/16551901867f3a390e6e.png,https://img.btdmp.com/10267/10267684/products/origin/1655190186f267fa50d4.png",,
unisex-t-shirt,,,Unisex T-shirt,Black,M,PH-AP-UnisexT-shirt-Black-M-079392,https://img.btdmp.com/10267/10267684/products/origin/1654740945961fec919c.png,,FALSE,,20.49,35.49,"https://img.btdmp.com/10267/10267684/products/origin/1655190186a7119f7c74.png,https://img.btdmp.com/10267/10267684/products/origin/16551901853119d23613.png,https://img.btdmp.com/10267/10267684/products/origin/16551901867f3a390e6e.png,https://img.btdmp.com/10267/10267684/products/origin/1655190186f267fa50d4.png",,
