Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files
1E+15,1.00001E+15,error-long-sleeve,Long Sleeve 1,"<ul class=""details"" data-testid=""details"">
<li class=""item body-text"">100% Cotton (fiber content may vary for different colors)</li>
<li class=""item body-text"">Medium fabric</li>
<li class=""item body-text"">Classic fit</li>
<li class=""item body-text"">Sewn in label</li>
<li class=""item body-text"">Runs smaller than usual</li>
</ul>",loan,longsleeve,"longsleeve,loan",TRUE,,[],Size,S,Color,White,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,https://img.btdmp.com/10101/10101221/products/origin/1641999008c9e30c7903.jpg,1,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008c9e30c7903.jpg,lb,,0,TRUE,TRUE
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,S,,Black,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,https://img.btdmp.com/10101/10101221/products/origin/1641999008a65b63e63d.jpg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008a65b63e63d.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,S,,Sport Grey,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,https://img.btdmp.com/10101/10101221/products/origin/1641999008cba8b74cbd.jpg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008cba8b74cbd.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,S,,Navy,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,https://img.btdmp.com/10101/10101221/products/origin/164199900858347e35cc.jpg,4,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/16419990089710f8f3fb.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,S,,Gold,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,https://img.btdmp.com/10101/10101221/products/origin/16419990089710f8f3fb.jpg,5,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/164199900858347e35cc.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,M,,White,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008c9e30c7903.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,M,,Black,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008a65b63e63d.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,M,,Sport Grey,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/1641999008cba8b74cbd.jpg,lb,,0,,
1E+15,1.00E+15,error-long-sleeve,,,,,,,,,,M,,Navy,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/16419990089710f8f3fb.jpg,lb,,0,,
1E+15,1.00001E+15,error-long-sleeve,,,,,,,,,,M,,Gold,,,,0,,0,continue,manual,33,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10101/10101221/products/origin/164199900858347e35cc.jpg,lb,,0,,
