Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
1E+15,1.00001E+15,danger-hoodie,Danger Hoodie,"<ul class=""details"" data-testid=""details"">
<li class=""item body-text"">50% Cotton 50% Polyester</li>
<li class=""item body-text"">Medium-heavy fabric</li>
<li class=""item body-text"">Classic fit</li>
<li class=""item body-text"">Tear away label</li>
<li class=""item body-text"">Runs true to size</li>
</ul>",loan,hoodie,"hoodie,loan",TRUE,,"[{""id"":""312504505441"",""name"":""CO1"",""label"":""Text"",""type"":""text"",""placeholder"":"""",""default_value"":"""",""help_text"":"""",""active"":true,""values"":[],""default_value_index"":0,""validations"":{""required"":true,""max_length"":30,""min_size"":0,""allowed_characters"":[""characters"",""numbers"",""symbol""]},""rules"":[],""layer_name"":"""",""font_family"":"""",""font_path"":"""",""p_o_d_data"":{""show_type"":""thumbnail"",""clipart_type"":""folder""},""unique"":0,""version"":0,""list_layer_name"":null,""enabled_resize_text"":false}]",Size,S,Color,White,,,,0,,,continue,manual,45,0,TRUE,TRUE,,https://img.btdmp.com/10134/10134871/products/origin/1679306671c419addadf.jpeg,1,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667259fed91f51.jpg,lb,,0,TRUE,TRUE,Default,,,,,,,
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,S,,Black,,,,0,,,continue,manual,45,0,TRUE,TRUE,,https://img.btdmp.com/10134/10134871/products/origin/167930667181b5d3179a.jpg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/1679306671c419addadf.jpeg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,S,,Sport Grey,,,,0,,,continue,manual,45,0,TRUE,TRUE,,https://img.btdmp.com/10134/10134871/products/origin/167930667198231f5b6f.jpg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667181b5d3179a.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,S,,Navy,,,,0,,,continue,manual,45,0,TRUE,TRUE,,https://img.btdmp.com/10134/10134871/products/origin/16793066712dc61c6e3f.jpg,4,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/16793066712dc61c6e3f.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,S,,Gold,,,,0,,,continue,manual,45,0,TRUE,TRUE,,https://img.btdmp.com/10134/10134871/products/origin/167930667259fed91f51.jpg,5,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667198231f5b6f.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,M,,White,,,,0,,,continue,manual,45,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667259fed91f51.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,M,,Black,,,,0,,,continue,manual,45,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/1679306671c419addadf.jpeg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,M,,Sport Grey,,,,0,,,continue,manual,45,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667181b5d3179a.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,M,,Navy,,,,0,,,continue,manual,45,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/16793066712dc61c6e3f.jpg,lb,,0,,,,,,,,,0,0
1E+15,1.00001E+15,danger-hoodie,,,,,,,,,,M,,Gold,,,,0,,,continue,manual,45,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10134/10134871/products/origin/167930667198231f5b6f.jpg,lb,,0,,,,,,,,,0,0
